Building,UWG,Location Summary,,,,,,,,,,,,,,,,,
,,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD1PRE,,Program,,,,,,,,,,,,,,,,,
BLD1PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD1PRE,,,Available Fuel Types,"gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity"
BLD1PRE,,Fabric,,,,,,,,,,,,,,,,,
BLD1PRE,,,Exterior walls,,,,,,,,,,,,,,,,
BLD1PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD1PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41
BLD1PRE,,,Roof,,,,,,,,,,,,,,,,
BLD1PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD1PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD1PRE,,,Window,,,,,,,,,,,,,,,,
BLD1PRE,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,3.53,3.53,3.53,3.53,3.53,3.53
BLD1PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41
BLD1PRE,,,Visible transmittance,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.32,0.32,0.32,0.32,0.32,0.32
BLD1PRE,,,Foundation,,,,,,,,,,,,,,,,
BLD1PRE,,,Foundation Type,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor
BLD1PRE,,,Construction,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade
BLD1PRE,,,R-value (m2·K / W),0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
BLD1PRE,,HVAC,,,,,,,,,,,,,,,,,
BLD1PRE,,,HVAC Sizing,,,,,,,,,,,,,,,,
BLD1PRE,HVAC,,Air Conditioning (kW),126.29,130.17,135.63,131.72,114.98,135.33,81.22,122.35,113.73,94.67,114.43,103.76,113.96,84.58,108.92,93.27
BLD1PRE,,,PSZ-AC_1:1_COOLC DXCOIL,101.79,104.88,108.93,106.18,94.18,108.80,67.43,99.47,89.39,77.52,90.47,81.34,86.91,65.33,79.81,67.64
BLD1PRE,,,PSZ-AC_2:2_COOLC DXCOIL,24.50,25.29,26.70,25.54,20.80,26.53,13.79,22.89,24.33,17.15,23.96,22.42,27.06,19.25,29.11,25.63
BLD1PRE,HEAT,,Heating (kW),174.50,224.27,199.53,239.67,167.71,210.77,169.66,251.19,214.03,206.36,282.77,235.95,310.11,288.85,316.89,446.73
BLD1PRE,,,PSZ-AC_1:1_HEATC,136.30,172.22,153.16,182.98,133.98,160.96,138.47,194.63,162.29,165.10,213.58,178.93,225.68,206.73,223.92,294.68
BLD1PRE,,,PSZ-AC_2:2_HEATC,38.20,52.05,46.36,56.70,33.72,49.81,31.19,56.56,51.73,41.26,69.19,57.02,84.43,82.12,92.96,152.05
BLD1PRE,,,HVAC Efficiency,,,,,,,,,,,,,,,,
BLD1PRE,COP,,Air Conditioning (COP),3.28237979,3.282454012,3.283151023,3.282344612,3.27883371,3.282938905,3.362815208,3.280502701,3.28776707,3.309704256,3.28654303,3.288337738,3.294103634,3.345527032,3.302152987,3.354954785
BLD1PRE,,,PSZ-AC_1:1_COOLC DXCOIL,3.23,3.23,3.23,3.23,3.23,3.23,3.30,3.23,3.23,3.23,3.23,3.23,3.23,3.30,3.23,3.30
BLD1PRE,,,PSZ-AC_2:2_COOLC DXCOIL,3.50,3.50,3.50,3.50,3.50,3.50,3.67,3.50,3.50,3.67,3.50,3.50,3.50,3.50,3.50,3.50
BLD1PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1PRE,,,PSZ-AC_1:1_HEATC,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1PRE,,,PSZ-AC_2:2_HEATC,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1PRE,,,HVAC Control - Economizer,,,,,,,,,,,,,,,,
BLD1PRE,,,PSZ-AC_1:1,NoEconomizer,NoEconomizer,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb
BLD1PRE,,,PSZ-AC_2:2,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,NoEconomizer,NoEconomizer,DifferentialDryBulb,NoEconomizer,NoEconomizer,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,NoEconomizer,NoEconomizer
BLD1PRE,Fan,,Fan Max Flow Rate (m3/s ),6.98,7.13,7.36,7.2,6.55,7.34,6.11,6.82,7.31,6.36,6.5,6.77,6.48,6.62,6.27,7.53
BLD1PRE,,,DINING EXHAUST FAN,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
BLD1PRE,,,KITCHEN EXHAUST FAN,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
BLD1PRE,,,PSZ-AC_1:1_FAN,4.1,4.22,4.39,4.28,3.82,4.38,3.52,4.01,4.36,3.69,3.64,3.9,3.5,3.57,3.21,4.09
BLD1PRE,,,PSZ-AC_2:2_FAN,0.99,1.02,1.08,1.03,0.84,1.07,0.7,0.92,1.06,0.78,0.97,0.98,1.09,1.16,1.17,1.55
BLD1PRE,,Utility Costs,,,,,,,,,,,,,,,,,
BLD1PRE,,,Electric Utility Rates,,,,,,,,,,,,,,,,
BLD1PRE,,,Average Annual Rate ($/kWh),0.07728,0.10745,0.09469,0.10288,0.12397,0.09418,0.14437,0.06629,0.03743,0.06970,0.05182,0.03745,0.05215,0.06802,0.05082,0.08646
BLD1PRE,,,Total Cost ($/m2),69.34,90.73,81.96,80.04,86.9,77.52,97.42,49.56,28.16,47.68,37.19,26.9,34.69,47.35,32.56,60.88
BLD1PRE,,,Gas Utility Rates,,,,,,,,,,,,,,,,
BLD1PRE,,,Average Annual Rate ($/MJ),0.01147,0.00818,0.00857,0.01055,0.00842,0.00810,0.00844,0.00996,0.00713,0.00832,0.00870,0.00712,0.00793,0.00853,0.00792,0.00416
BLD1PRE,,,Total Cost ($/m2),21.95,19.53,19.02,30.15,18.84,20.15,23.67,35.77,21.85,28.85,36.45,25.69,39.18,37,45.38,31.45
BLD1PRE,,,Total Utility Costs,,,,,,,,,,,,,,,,
BLD1PRE,,,Cost Intensity ($/m2),91.28,110.26,100.98,110.19,105.74,97.67,121.09,85.33,50,76.53,73.63,52.59,73.87,84.35,77.94,92.33
BLD1PRE,,Energy - End Uses,,,,,,,,,,,,,,,,,
BLD1PRE,,,Electricity (kWh),,,,,,,,,,,,,,,,
BLD1PRE,,,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Cooling,"106,444.44","77,786.11","86,311.11","43,188.89","11,755.56","64,558.33","4,255.56","31,841.67","28,213.89","5,688.89","20,458.33","17,144.44","16,138.89","9,241.67","5,497.22","2,480.56"
BLD1PRE,,,Interior Lighting,"80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00"
BLD1PRE,,,Exterior Lighting,"22,216.67","22,177.78","22,172.22","22,208.33","22,202.78","22,183.33","22,158.33","22,180.56","22,177.78","22,144.44","22,150.00","22,155.56","22,169.44","22,141.67","22,136.11","22,002.78"
BLD1PRE,,,Interior Equipment,"166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78"
