UWG,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SchEquip,WD,BLDG_EQUIP_SCH,Fraction,Through 12/31,Weekday,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.35,0.35,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.25,0.25
,Sat,,,,Sat,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.35,0.35,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.25,0.25
,Sun,,,,"Sun, Hol, Other",0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.35,0.35,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.25,0.25
SchLight,WD,BLDG_LIGHT_SCH,Fraction,Through 12/31,"Weekday, Sat, Sun, Hol, Other",0.45,0.15,0.15,0.15,0.15,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
,Sat,,,,"Weekday, Sat, Sun, Hol, Other",0.45,0.15,0.15,0.15,0.15,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
,Sun,,,,"Weekday, Sat, Sun, Hol, Other",0.45,0.15,0.15,0.15,0.15,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
SchOcc,WD,BLDG_OCC_SCH,Fraction,Through 12/31,WD,0.05,0,0,0,0,0.05,0.1,0.4,0.4,0.4,0.2,0.5,0.8,0.7,0.4,0.2,0.25,0.5,0.8,0.8,0.8,0.5,0.35,0.2
,Sat,,,,Sat,0.05,0,0,0,0,0,0.05,0.5,0.5,0.4,0.2,0.45,0.5,0.5,0.35,0.3,0.3,0.3,0.7,0.9,0.7,0.65,0.55,0.35
,Sun,,,,"Sun, Hol, Other",0.05,0,0,0,0,0,0.05,0.5,0.5,0.2,0.2,0.3,0.5,0.5,0.3,0.2,0.25,0.35,0.55,0.65,0.7,0.35,0.2,0.2
SchGas,WD,GAS_EQUIP_SCH,Fraction,Through 12/31,"WD, Sat",0.02,0.02,0.02,0.02,0.02,0.05,0.1,0.15,0.2,0.15,0.25,0.25,0.25,0.2,0.15,0.2,0.3,0.3,0.3,0.2,0.2,0.15,0.1,0.05
,Sat,,,,"WD, Sat",0.02,0.02,0.02,0.02,0.02,0.05,0.1,0.15,0.2,0.15,0.25,0.25,0.25,0.2,0.15,0.2,0.3,0.3,0.3,0.2,0.2,0.15,0.1,0.05
,Sun,,,,"Sun, Hol, Other",0.02,0.02,0.02,0.02,0.02,0.05,0.1,0.15,0.2,0.15,0.25,0.25,0.25,0.2,0.15,0.2,0.3,0.3,0.3,0.2,0.2,0.15,0.1,0.05
,,Kitchen_Exhaust_SCH,On/Off,Through 12/31,All,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,INFIL_HALF_ON_SCH,Fraction,Through 12/31,"WD, SummerDesign",1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,"Sat, WinterDesign",1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,"Sun, Hol, Other",1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,WORK_EFF_SCH,Fraction,Through 12/31,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dual Zone Control Type Sched,Control Type,Through 12/31,All,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,CLGSETP_KITCHEN_SCH,Temperature,Through 12/31,WinterDesign,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,Other,26,30,30,30,30,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
,,HTGSETP_KITCHEN_SCH,Temperature,Through 12/31,SummerDesign,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6
,,,,,WinterDesign,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
,,,,,Other,19,15.6,15.6,15.6,15.6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
,,,Temperature,Through 12/31,WinterDesign,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
SetCool,WD,CLGSETP_SCH,Temperature,,Other,24,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,Sat,,,,,24,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,Sun,,,,,24,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,Temperature,Through 12/31,SummerDesign,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6
,,,,,WinterDesign,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
SetHeat,WD,HTGSETP_SCH,,,Other,21,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,Sat,,,,,21,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,Sun,,,,,21,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,,HVACOperationSchd,On/Off,Through 12/31,All,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,MinOA_Sched,Fraction,Through 12/31,All,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,Kitchen_Case:1_WALKINFREEZER_CaseCreditReduxSched,Fraction,Through 12/31,All,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2
,,Kitchen_Case:1_WALKINFREEZER_CaseDefrost2aDaySched,On/Off,Through 12/31,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Kitchen_Case:1_WALKINFREEZER_CaseDripDown2aDaySched,On/Off,Through 12/31,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Kitchen_Case:1_WALKINFREEZER_WalkInStockingSched,Any Number,Through 12/31,"Tue, Fri",0,0,0,0,725,417,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Other,0,0,0,0,125,117,90,0,0,0,0,0,0,0,0,0,0,0,0,125,117,90,0,0
