4,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SchEquip,WD,BLDG_EQUIP_SCH,Fraction,Through 12/31,Weekday,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.35,0.35,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.25,0.25
,Sat,,,,Sat,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.35,0.35,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.25,0.25
,Sun,,,,"Sun, Hol, Other",0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.35,0.35,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.35,0.35,0.35,0.25,0.25,0.25,0.25,0.25
SchLight,WD,BLDG_LIGHT_SCH,Fraction,Through 12/31,"Weekday, Sat, Sun, Hol, Other",0.45,0.15,0.15,0.15,0.15,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
,Sat,,,,"Weekday, Sat, Sun, Hol, Other",0.45,0.15,0.15,0.15,0.15,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
,Sun,,,,"Weekday, Sat, Sun, Hol, Other",0.45,0.15,0.15,0.15,0.15,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
SchOcc,WD,BLDG_OCC_SCH,Fraction,Through 12/31,WD,0.05,0,0,0,0,0.05,0.1,0.4,0.4,0.4,0.2,0.5,0.8,0.7,0.4,0.2,0.25,0.5,0.8,0.8,0.8,0.5,0.35,0.2
,Sat,,,,Sat,0.05,0,0,0,0,0,0.05,0.5,0.5,0.4,0.2,0.45,0.5,0.5,0.35,0.3,0.3,0.3,0.7,0.9,0.7,0.65,0.55,0.35
,Sun,,,,"Sun, Hol, Other",0.05,0,0,0,0,0,0.05,0.5,0.5,0.2,0.2,0.3,0.5,0.5,0.3,0.2,0.25,0.35,0.55,0.65,0.7,0.35,0.2,0.2
SetCool,WD,CLGSETP_SCH,Temperature,Through 12/31,Other,24,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,Sat,,,,,24,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,Sun,,,,,24,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
SetHeat,WD,HTGSETP_SCH,Temperature,Through 12/31,SummerDesign,21,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,Sat,,,,,21,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,Sun,,,,,21,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
SchGas,WD,GAS_EQUIP_SCH,Fraction,Through 12/31,"WD, Sat",0.02,0.02,0.02,0.02,0.02,0.05,0.1,0.15,0.2,0.15,0.25,0.25,0.25,0.2,0.15,0.2,0.3,0.3,0.3,0.2,0.2,0.15,0.1,0.05
,Sat,,,,"WD, Sat",0.02,0.02,0.02,0.02,0.02,0.05,0.1,0.15,0.2,0.15,0.25,0.25,0.25,0.2,0.15,0.2,0.3,0.3,0.3,0.2,0.2,0.15,0.1,0.05
,Sun,,,,"Sun, Hol, Other",0.02,0.02,0.02,0.02,0.02,0.05,0.1,0.15,0.2,0.15,0.25,0.25,0.25,0.2,0.15,0.2,0.3,0.3,0.3,0.2,0.2,0.15,0.1,0.05
SchWater,WD,BLDG_SWH_SCH,Fraction,Through 12/31,"WD, SummerDesign",0.2,0,0,0,0,0,0.15,0.6,0.55,0.45,0.4,0.45,0.4,0.35,0.3,0.3,0.3,0.4,0.55,0.6,0.5,0.55,0.45,0.25
,Sat,,,,"Sat, WinterDesign",0.2,0,0,0,0,0,0.15,0.15,0.15,0.5,0.45,0.5,0.5,0.45,0.4,0.4,0.35,0.4,0.55,0.55,0.5,0.55,0.4,0.3
,Sun,,,,"Sun, Hol, Other",0.25,0,0,0,0,0,0.15,0.15,0.15,0.15,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.5,0.4,0.2
