3.00,UWG,Location Summary,,,,,,,,,,,,,,,,,
BLD,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD2PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD2PRE,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD2PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41
BLD2PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD2PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD2PRE,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,3.53,3.53,3.53,3.53,3.53,3.53
BLD2PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41
BLD2PRE,HVAC,,COOLSYS1 CHILLER,"3,415.76","3,397.93","3,123.55","3,196.82","2,658.58","2,763.87","2,284.63","3,213.13","2,303.18","2,402.42","3,061.09","2,184.89","2,948.63","2,079.52","2,572.82","2,020.06"
BLD2PRE,HEAT,,HEATSYS1 BOILER,"3,494.71","3,682.05","3,665.56","3,703.94","3,375.96","3,602.65","3,348.37","3,807.02","3,350.77","3,580.51","3,779.91","3,301.49","3,865.98","3,569.03","3,785.18","4,162.83"
BLD2PRE,COP,,Air Conditioning (COP),5.540,5.540,5.540,5.540,5.540,5.540,5.540,5.540,5.540,5.540,5.540,5.540,5.540,5.540,5.540,5.540
BLD2PRE,EffHeat,,Heating Efficiency (%),0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
BLD2PRE,Fan,,Fan Max Flow Rate (m3/s ),114.14,115.49,120.79,117.24,109.28,120.97,105.33,113.02,121.84,109.38,107.36,113.96,106.18,109.45,103.22,98.59
BLD2PST,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD2PST,RvalWall,,R-value (m2·K / W),2.38,0.52,0.43,0.61,0.42,0.61,0.42,1.47,0.93,1.76,1.76,1.26,2.48,2.23,2.89,3.75
BLD2PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD2PST,RvalRoof,,R-value (m2·K / W),2.38,2.67,3.83,2.44,1.76,3.66,2.00,3.03,2.99,2.75,3.38,3.51,3.97,3.65,4.41,5.75
BLD2PST,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,4.09,5.84,5.84,4.09,3.35,4.09,4.09,3.35,3.35,2.96,2.96,2.96,2.96
BLD2PST,SHGC,,SHGC,0.25,0.25,0.25,0.26,0.44,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62
BLD2PST,HVAC,,COOLSYS1 CHILLER,"3,317.74","3,272.20","2,992.11","3,052.20","2,637.67","2,600.87","2,214.03","3,052.22","2,185.93","2,281.75","3,019.32","2,147.45","2,905.95","2,050.97","2,569.77","2,078.57"
BLD2PST,HEAT,,HEATSYS1 BOILER,"3,292.16","3,444.17","3,450.46","3,463.50","3,283.18","3,332.82","3,191.19","3,572.72","3,158.25","3,404.76","3,749.17","3,265.91","3,832.25","3,556.57","3,840.17","4,321.15"
BLD2PST,COP,,Air Conditioning (COP),5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200
BLD2PST,EffHeat,,Heating Efficiency (%),0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
BLD2PST,Fan,,Fan Max Flow Rate (m3/s ),109.36,108.93,113.52,109.53,108.33,111.41,101.71,104.60,114.40,102.77,105.04,111.70,103.83,107.71,102.97,101.52
BLD2NEW,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD2NEW,RvalWall,,R-value (m2·K / W),2.38,0.42,0.42,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.43,1.43,1.69,1.69,1.96,2.20
BLD2NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD2NEW,RvalRoof,,R-value (m2·K / W),2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.85,2.85,2.85,2.85,2.79,3.72
BLD2NEW,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,3.24,3.24,3.24,5.84,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,2.62
BLD2NEW,SHGC,,SHGC,0.25,0.25,0.25,0.25,0.25,0.25,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.49,0.30
BLD2NEW,HVAC,,COOLSYS1 CHILLER,"2,964.08","2,945.32","2,673.57","2,709.25","2,279.06","2,291.35","2,030.50","2,763.91","1,929.68","2,053.75","2,726.17","1,913.70","2,633.71","1,850.77","2,336.59","1,812.41"
BLD2NEW,HEAT,,HEATSYS1 BOILER,"2,897.08","3,064.56","2,942.88","3,133.41","2,845.42","2,899.17","3,054.05","3,290.06","2,766.73","3,068.58","3,444.80","2,926.47","3,531.92","3,225.43","3,559.13","3,876.51"
BLD2NEW,COP,,Air Conditioning (COP),6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100
BLD2NEW,EffHeat,,Heating Efficiency (%),0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
BLD2NEW,Fan,,Fan Max Flow Rate (m3/s ),96.91,97.52,99.55,94.99,91.72,95.03,92.67,94.29,98.97,91.56,94.11,97.95,93.63,95.67,93.72,87.08
