3.00,,Location Summary,,,,,,,,,,,,,,,,,
BLD,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD3PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7.00,8.00
BLD3PRE,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD3PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41
BLD3PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD3PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD3PRE,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,3.53,3.53,3.53,3.53,3.53,3.53
BLD3PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41
BLD3PRE,HVAC,,Air Conditioning (kW),"1,494.11","1,512.02","1,260.77","1,354.19",909.76,987.06,637.61,"1,379.70",718.58,706.26,"1,272.31",606.69,"1,259.21",571.60,971.58,509.57
BLD3PRE,HEAT,,HEATSYS1 BOILER,"2,853.36","3,547.85","3,087.62","3,800.58","2,890.33","3,287.23","3,102.26","4,155.44","3,407.08","3,635.34","4,724.05","3,931.27","5,068.47","4,659.64","5,144.66","6,251.92"
BLD3PRE,COP,,COOLSYS1 CHILLER 1,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640,2.640
BLD3PRE,EffHeat,,HEATSYS1 BOILER,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
BLD3PRE,Fan,,Fan Max Flow Rate (m3/s ),92.79,93.52,95.85,95.16,91.56,96.47,90.78,93.85,98.44,93.01,90.81,94.80,91.11,93.34,89.73,89.24
BLD3PST,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD3PST,RvalWall,,R-value (m2·K / W),0.42,0.52,0.43,0.61,0.42,0.61,0.42,1.47,0.93,1.76,1.76,1.26,2.48,2.23,2.89,3.75
BLD3PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD3PST,RvalRoof,,R-value (m2·K / W),2.38,2.67,3.83,2.44,1.76,3.66,2.00,3.03,2.99,2.75,3.38,3.51,3.97,3.65,4.41,5.75
BLD3PST,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,4.09,5.84,5.84,4.09,3.35,4.09,4.09,3.35,3.35,2.96,2.96,2.96,2.96
BLD3PST,SHGC,,SHGC,0.25,0.25,0.25,0.26,0.44,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62
BLD3PST,HVAC,,Air Conditioning (kW),"1,475.17","1,405.21","1,215.63","1,262.20",901.00,919.97,610.74,"1,280.68",613.62,689.95,"1,270.93",608.91,"1,204.06",573.65,988.34,532.43
BLD3PST,HEAT,,HEATSYS1 BOILER,"2,157.89","2,877.17","2,435.83","3,140.68","2,234.34","2,645.31","2,456.68","3,466.05","2,814.84","2,982.61","4,078.89","3,365.54","4,417.24","4,068.17","4,527.37","5,629.83"
BLD3PST,COP,,COOLSYS1 CHILLER 1,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500
BLD3PST,EffHeat,,HEATSYS1 BOILER,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
BLD3PST,Fan,,Fan Max Flow Rate (m3/s ),89.47,89.54,91.83,91.31,89.45,91.63,87.14,90.19,95.74,90.68,91.16,95.67,91.54,94.30,92.46,94.81
BLD3NEW,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD3NEW,RvalWall,,R-value (m2·K / W),0.42,0.42,0.42,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.43,1.43,1.69,1.69,1.96,2.20
BLD3NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD3NEW,RvalRoof,,R-value (m2·K / W),2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.85,2.85,2.85,2.85,2.79,3.72
BLD3NEW,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,3.24,3.24,3.24,5.84,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,2.62
BLD3NEW,SHGC,,SHGC,0.25,0.25,0.25,0.25,0.25,0.25,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.49,0.30
BLD3NEW,HVAC,,Air Conditioning (kW),"1,443.41","1,375.19","1,118.80","1,227.13",834.75,835.52,601.78,"1,250.63",590.15,652.25,"1,238.74",585.00,"1,171.72",545.47,958.36,481.06
BLD3NEW,HEAT,,HEATSYS1 BOILER,"2,106.80","2,811.51","2,370.38","3,043.90","2,173.97","2,564.94","2,404.30","3,377.19","2,748.70","2,894.26","3,969.42","3,290.51","4,301.61","3,965.87","4,427.48","5,423.00"
