3.00,UWG,Location Summary,,,,,,,,,,,,,,,,,,,
UWG,City,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,,
BLD6PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,,
BLD6PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,,
BLD6PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41,,
BLD6PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,,
BLD6PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99,,
BLD6PRE,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,3.53,3.53,3.53,3.53,3.53,3.53,,
BLD6PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,,
BLD6PRE,HVAC,,Air Conditioning (kW),218.24,234.65,264.49,252.18,155.93,223.96,140.40,257.80,193.80,173.15,310.86,254.96,349.69,271.78,371.26,344.88,,73.36523126
BLD6PRE,HEAT,,Heating (kW),106.46,211.53,157.57,256.13,123.87,197.44,157.16,285.04,234.98,219.77,352.76,295.54,395.19,373.61,414.56,554.80,,
BLD6PRE,COP,,SPLITSYSTEMAC:01_UNITARY_PACKAGE_COOLCOIL,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,,
BLD6PRE,EffHeat,,SPLITSYSTEMAC:01_UNITARY_PACKAGE_HEATCOIL,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,,
BLD6PRE,Fan,,Fan Max Flow Rate (m3/s ),8.84,9.55,11.44,10.46,6.94,10.87,7.50,10.60,10.55,9.03,12.76,12.84,14.40,15.36,15.42,20.04,,
BLD6PST,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,,
BLD6PST,RvalWall,,R-value (m2·K / W),0.32,1.17,0.73,1.36,0.80,1.10,1.36,1.98,1.76,1.92,2.15,2.15,2.71,2.44,3.04,3.91,,
BLD6PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,,
BLD6PST,RvalRoof,,R-value (m2·K / W),2.38,2.67,3.83,2.44,1.76,3.66,2.00,3.03,2.99,2.75,3.38,3.51,3.97,3.65,4.41,5.75,,
BLD6PST,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,4.09,5.84,5.84,4.09,3.35,4.09,4.09,3.35,3.35,2.96,2.96,2.96,2.96,,
BLD6PST,SHGC,,SHGC,0.25,0.25,0.25,0.26,0.44,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,,
BLD6PST,HVAC,,Air Conditioning (kW),252.21,186.59,224.88,202.48,146.07,179.38,110.82,208.97,169.47,142.57,277.40,228.93,306.87,243.32,325.37,302.82,,
BLD6PST,HEAT,,Heating (kW),132.40,192.17,152.18,222.84,122.74,177.73,137.66,244.54,202.11,192.42,321.56,263.24,355.21,337.57,370.92,496.74,,
BLD6PST,COP,,SPLITSYSTEMAC:01_UNITARY_PACKAGE_COOLCOIL,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,,
BLD6PST,EffHeat,,SPLITSYSTEMAC:01_UNITARY_PACKAGE_HEATCOIL,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,,
BLD6PST,Fan,,Fan Max Flow Rate (m3/s ),10.22,7.55,9.38,8.28,6.39,8.23,5.74,8.56,8.66,7.13,11.36,11.16,12.56,13.52,13.43,17.47,,
