4,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hours Per Day,Hours Per Week,Hours Per Year
SchEquip,WD,APT_EQP_SCH,Fraction,Through 12/31,All,0.45,0.41,0.39,0.38,0.38,0.43,0.54,0.65,0.66,0.67,0.69,0.7,0.69,0.66,0.65,0.68,0.8,1,1,0.93,0.89,0.85,0.71,0.58,15.79,110.53,5763.35
,Sat,,,,,0.45,0.41,0.39,0.38,0.38,0.43,0.54,0.65,0.66,0.67,0.69,0.7,0.69,0.66,0.65,0.68,0.8,1,1,0.93,0.89,0.85,0.71,0.58,,,
,Sun,,,,,0.45,0.41,0.39,0.38,0.38,0.43,0.54,0.65,0.66,0.67,0.69,0.7,0.69,0.66,0.65,0.68,0.8,1,1,0.93,0.89,0.85,0.71,0.58,,,
SchLight,WD,APT_LIGHT_SCH,Fraction,Through 12/31,All,0.067,0.067,0.067,0.067,0.187,0.394,0.44,0.393,0.172,0.119,0.119,0.119,0.119,0.119,0.119,0.206,0.439,0.616,0.829,0.986,1,0.692,0.384,0.16,7.88,55.16,2876.2
,Sat,,,,,0.067,0.067,0.067,0.067,0.187,0.394,0.44,0.393,0.172,0.119,0.119,0.119,0.119,0.119,0.119,0.206,0.439,0.616,0.829,0.986,1,0.692,0.384,0.16,,,
,Sun,,,,,0.067,0.067,0.067,0.067,0.187,0.394,0.44,0.393,0.172,0.119,0.119,0.119,0.119,0.119,0.119,0.206,0.439,0.616,0.829,0.986,1,0.692,0.384,0.16,,,
SchOcc,WD,APT_OCC_SCH,Fraction,Through 12/31,All,1,1,1,1,1,1,1,0.85,0.39,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.52,0.87,0.87,0.87,1,1,1,16.42,114.94,5993.3
,Sat,,,,,1,1,1,1,1,1,1,0.85,0.39,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.52,0.87,0.87,0.87,1,1,1,,,
,Sun,,,,,1,1,1,1,1,1,1,0.85,0.39,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.52,0.87,0.87,0.87,1,1,1,,,
SetCool,WD,APT_CLGSETP_SCH,Temperature,Through 12/31,All,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,573.6,4015.2,209364
,Sat,,,,,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,,,
,Sun,,,,,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,,,
SetHeat,WD,APT_HTGSETP_SCH,Temperature,Through 12/31,All,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,506.4,3544.8,184836
,Sat,,,,,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,,,
,Sun,,,,,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,,,
SchGas,WD,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sat,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sun,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
SchSWH,WD,APT_DHW_SCH,Fraction,Through 12/31,All,0.08,0.04,0.01,0.01,0.04,0.27,0.94,1,0.96,0.84,0.76,0.61,0.53,0.47,0.41,0.47,0.55,0.73,0.86,0.82,0.75,0.61,0.53,0.29,,,
,Sat,,,,,0.08,0.04,0.01,0.01,0.04,0.27,0.94,1,0.96,0.84,0.76,0.61,0.53,0.47,0.41,0.47,0.55,0.73,0.86,0.82,0.75,0.61,0.53,0.29,,,
,Sun,,,,,0.08,0.04,0.01,0.01,0.04,0.27,0.94,1,0.96,0.84,0.76,0.61,0.53,0.47,0.41,0.47,0.55,0.73,0.86,0.82,0.75,0.61,0.53,0.29,,,
