3,UWG,Location Summary,,,,,,,,,,,,,,,,,
Building,City,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD8PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD8PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD8PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41
BLD8PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD8PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD8PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525
BLD8PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407
BLD8PRE,HVAC,,Air Conditioning (kW),911.69,951.77,934.41,916.27,677.22,811.00,734.84,865.50,611.92,572.74,679.11,477.93,615.54,405.81,552.24,465.31
BLD8PRE,HEAT,,Heating (kW),663.41,849.61,760.12,906.82,644.12,783.13,818.31,937.47,744.16,769.71,878.08,692.19,871.19,767.21,831.76,1187.68
BLD8PRE,COP,,Air Conditioning (COP),3.23,3.20,3.20,3.23,3.26,3.25,3.25,3.25,3.26,3.26,3.26,3.27,3.26,3.28,3.26,3.28
BLD8PRE,EffHeat,,Heating Efficiency (%),0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.77
BLD8PRE,Fan,,Fan Max Flow Rate (m3/s ),38.99,40.71,42.87,41.39,36.30,41.42,45.50,37.52,37.03,34.16,29.19,27.98,26.63,25.55,24.73,29.95
BLD8PST,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD8PST,RvalWall,,R-value (m2·K / W),0.32,1.17,0.73,1.36,0.80,1.10,1.36,1.98,1.76,1.92,2.15,2.15,2.71,2.44,3.04,3.91
BLD8PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD8PST,RvalRoof,,R-value (m2·K / W),2.38,2.67,3.83,2.44,1.76,3.66,2.00,3.03,2.99,2.75,3.38,3.51,3.97,3.65,4.41,5.75
BLD8PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956
BLD8PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616
BLD8PST,HVAC,,Air Conditioning (kW),822.19,686.76,643.32,679.65,645.02,558.54,618.43,582.86,435.65,433.25,556.13,389.00,499.25,355.30,483.05,385.20
BLD8PST,HEAT,,Heating (kW),605.20,658.41,536.04,696.78,611.18,533.88,734.42,676.38,541.21,581.00,749.83,563.16,742.80,687.14,737.61,1039.39
BLD8PST,COP,,Air Conditioning (COP),3.25,3.26,3.26,3.26,3.26,3.26,3.25,3.26,3.27,3.26,3.26,3.29,3.26,3.29,3.26,3.31
BLD8PST,EffHeat,,Heating Efficiency (%),0.72,0.73,0.73,0.73,0.72,0.73,0.72,0.73,0.73,0.73,0.73,0.74,0.73,0.73,0.73,0.73
BLD8PST,Fan,,Fan Max Flow Rate (m3/s ),34.96,29.49,27.75,29.30,34.13,25.79,38.14,25.32,25.33,24.81,24.23,21.90,21.95,22.52,21.29,25.12
BLD8NEW,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD8NEW,RvalWall,,R-value (m2·K / W),1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,2.10,2.10,2.10,2.10,2.75,2.75
BLD8NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD8NEW,RvalRoof,,R-value (m2·K / W),2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.85,2.85,2.85,2.85,2.79,3.72
BLD8NEW,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,3.241,3.241,3.241,5.835,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,2.615
BLD8NEW,SHGC,,SHGC,0.251,0.251,0.251,0.252,0.252,0.252,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.487,0.296
BLD8NEW,HVAC,,Air Conditioning (kW),575.97,590.20,592.19,550.01,436.46,501.04,535.50,559.04,410.62,379.37,529.59,384.29,515.25,336.32,475.61,288.36
BLD8NEW,HEAT,,Heating (kW),451.47,582.73,501.36,586.70,397.95,478.18,646.21,655.44,510.12,511.35,722.89,560.20,761.05,662.53,738.66,821.88
BLD8NEW,COP,,Air Conditioning (COP),3.26,3.26,3.26,3.26,3.27,3.27,3.26,3.26,3.28,3.29,3.26,3.30,3.26,3.29,3.27,3.34
BLD8NEW,EffHeat,,Heating Efficiency (%),0.76,0.76,0.76,0.76,0.77,0.76,0.76,0.76,0.76,0.77,0.76,0.77,0.76,0.76,0.76,0.76
BLD8NEW,Fan,,Fan Max Flow Rate (m3/s ),25.04,25.62,25.69,23.99,20.92,22.63,32.59,24.36,23.6,21.28,23.17,21.63,22.59,21.27,21.21,19.26
