4,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hours Per Day,Hours Per Week,Hours Per Year
SchEquip,WD,BLDG_EQUIP_SCH,Fraction,Through 12/31,WD,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.4,0.2,0.2,13.7,89.4,4661.57
,Sat,,,,Sat,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.3,0.5,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.5,0.5,0.3,0.15,0.15,12.15,,
,Sun,,,,"Sun, Hol, Other",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.3,0.3,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0.4,0.15,0.15,0.15,0.15,0.15,8.75,,
SchLight,WD,BLDG_LIGHT_SCH,Fraction,Through 12/31,WD,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.5,0.2,0.05,0.05,11.15,70.85,3694.32
,Sat,,,,Sat,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5,0.3,0.3,0.1,0.05,0.05,9.85,,
,Sun,,,,"Sun, Hol, Other",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.4,0.2,0.05,0.05,0.05,0.05,0.05,5.25,,
SchOcc,WD,BLDG_OCC_SCH,Fraction,Through 12/31,WD,0,0,0,0,0,0,0,0.1,0.2,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.7,0.5,0.5,0.3,0.3,0,0,0,7.2,43.5,2268.21
,Sat,,,,Sat,0,0,0,0,0,0,0,0.1,0.2,0.5,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.2,0.2,0.2,0.1,0,0,7.5,,
,Sun,,,,Other,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.2,0.1,0,0,0,0,0,2.8,,
SetCool,WD,CLGSETP_SCH,Temperature,Through 12/31,"WD, SummerDesign",30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,30,630,4428,230888.57
,Sat,,,,Sat,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,624,,
,Sun,,,,"Sun, Hol, Other",30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,30,30,30,30,30,654,,
SetHeat,WD,HTGSETP_SCH,Temperature,Through 12/31,WD,15.6,15.6,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15.6,15.6,15.6,455.4,2737.8,142756.71
,Sat,,,,Sat,15.6,15.6,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15.6,15.6,460.8,,
,Sun,,,,Other,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,15.6,15.6,15.6,15.6,15.6,433.8,,
SchGas,WD,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sat,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sun,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
SchSWH,WD,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sat,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sun,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
