3,,Location Summary,,,,,,,,,,,,,,,,,
BLD,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD16PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD16PRE,TypeWall,,Construction Type,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall
BLD16PRE,RvalWall,,R-value (m2·K / W),0.57,0.57,0.57,0.59,0.57,0.57,0.59,0.80,0.77,0.81,0.94,0.90,1.02,1.02,1.10,1.22
BLD16PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD16PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD16PRE,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,3.53,3.53,3.53,3.53,3.53,3.53
BLD16PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41
BLD16PRE,HVAC,,Air Conditioning (kW),105.87,158.88,161.86,195.51,90.13,136.97,91.68,211.51,181.01,129.74,277.33,249.87,311.91,263.85,332.90,295.47
BLD16PRE,HEAT,,Heating (kW),137.85,303.09,174.54,404.07,151.59,276.59,178.95,476.11,384.01,312.70,667.23,541.83,772.05,737.97,824.17,1172.58
BLD16PRE,COP,,Air Conditioning (COP),3.30,3.29,3.28,3.28,3.29,3.28,3.29,3.28,3.28,3.28,3.16,3.27,3.16,3.16,3.16,3.16
BLD16PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD16PRE,Fan,,Fan Max Flow Rate (m3/s ),5.14,9.07,7.71,12.22,4.70,9.03,5.67,13.72,13.59,9.35,19.19,18.75,22.24,23.83,24.18,32.89
BLD16PST,TypeWall,,Construction Type,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall
BLD16PST,RvalWall,,R-value (m2·K / W),0.23,0.98,0.54,1.16,0.61,0.91,1.16,1.79,1.57,1.72,1.96,1.96,2.52,2.25,2.85,3.72
BLD16PST,TypeRoof,,Construction Type,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof
BLD16PST,RvalRoof,,R-value (m2·K / W),2.38,2.67,3.83,2.44,1.76,3.66,2.00,3.03,2.99,2.75,3.38,3.51,3.97,3.65,4.41,5.75
BLD16PST,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,4.09,5.84,5.84,4.09,3.35,4.09,4.09,3.35,3.35,2.96,2.96,2.96,2.96
BLD16PST,SHGC,,SHGC,0.25,0.25,0.25,0.26,0.44,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.70
BLD16PST,HVAC,,Air Conditioning (kW),109.43,146.48,129.92,178.37,90.40,128.28,85.09,193.62,170.11,120.87,257.90,232.54,289.31,243.65,306.70,269.70
BLD16PST,HEAT,,Heating (kW),150.49,272.17,168.84,361.96,151.75,242.25,168.35,428.31,340.85,284.06,615.81,486.29,712.11,684.05,754.94,1066.14
BLD16PST,COP,,Air Conditioning (COP),3.30,3.29,3.29,3.28,3.29,3.28,3.38,3.28,3.27,3.28,3.24,3.27,3.16,3.27,3.15,3.16
BLD16PST,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD16PST,Fan,,Fan Max Flow Rate (m3/s ),5.31,8.13,6.38,10.90,4.70,7.89,5.30,12.27,12.01,8.46,17.63,16.75,20.39,21.98,22.03,29.73
BLD16NEW,TypeWall,,Construction Type,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall
BLD16NEW,RvalWall,,R-value (m2·K / W),0.23,0.77,0.77,0.77,0.77,0.77,0.77,1.12,1.12,1.12,1.24,1.24,1.37,1.37,1.37,1.37
BLD16NEW,TypeRoof,,Construction Type,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof
BLD16NEW,RvalRoof,,R-value (m2·K / W),0.19,1.05,1.05,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.87,1.87,1.87,1.87,1.81,2.50
BLD16NEW,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84
BLD16NEW,SHGC,,SHGC,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
BLD16NEW,HVAC,,Air Conditioning (kW),357.24,121.47,130.65,110.78,57.01,87.12,57.12,116.15,97.90,71.22,149.19,127.20,166.50,135.50,178.32,150.15
BLD16NEW,HEAT,,Heating (kW),172.02,194.27,133.49,216.77,114.70,154.87,127.78,247.61,209.56,160.46,345.87,287.69,401.34,395.55,433.91,565.70
BLD16NEW,COP,,Air Conditioning (COP),3.15,3.27,3.29,3.28,3.39,3.37,3.39,3.28,3.29,3.38,3.27,3.28,3.27,3.28,3.27,3.28
BLD16NEW,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD16NEW,Fan,,Fan Max Flow Rate (m3/s ),19.57,6.6,7.08,6.41,3.6,5.37,3.88,6.9,7.25,4.74,9.54,9.65,11.05,12.28,12.19,15.05
