3,,Location Summary,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD7PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD7PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD7PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41
BLD7PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD7PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD7PRE,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,3.53,3.53,3.53,3.53,3.53,3.53
BLD7PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41
BLD7PRE,HVAC,,Air Conditioning (kW),610.84,625.92,633.94,604.44,481.71,573.37,439.80,592.79,505.38,462.57,554.78,460.13,533.61,437.70,461.00,387.63
BLD7PRE,HEAT,,HEATSYS1 BOILER,138.01,138.39,131.29,140.25,129.09,128.31,128.83,144.00,125.94,134.37,148.05,130.63,154.19,144.56,152.25,173.91
BLD7PRE,COP,,Air Conditioning (COP),3.01,3.01,3.01,3.01,3.01,3.01,3.056118648,3.01,3.01,3.055321448,3.01,3.058163434,3.01,3.058740486,3.057184176,3.11
BLD7PRE,EffHeat,,HEATSYS1 BOILER,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
BLD7PRE,Fan,,Fan Max Flow Rate (m3/s ),27.65,28.47,30.76,29.30,26.76,30.88,26.43,27.83,30.53,27.34,25.66,27.80,25.27,26.44,24.14,23.41
BDL7PST,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BDL7PST,RvalWall,,R-value (m2·K / W),0.32,1.17,0.73,1.36,0.80,1.10,1.36,1.98,1.76,1.92,2.15,2.15,2.71,2.44,3.04,3.91
BDL7PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BDL7PST,RvalRoof,,R-value (m2·K / W),2.38,2.67,3.83,2.44,1.76,3.66,2.00,3.03,2.99,2.75,3.38,3.51,3.97,3.65,4.41,5.75
BDL7PST,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,4.09,5.84,5.84,4.09,3.35,4.09,4.09,3.35,3.35,2.96,2.96,2.96,2.96
BDL7PST,SHGC,,SHGC,0.25,0.25,0.25,0.26,0.44,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62
BDL7PST,HVAC,,Air Conditioning (kW),616.03,574.51,581.49,545.29,469.49,512.66,397.23,529.79,447.06,414.91,528.88,430.49,508.32,413.04,448.09,391.92
BDL7PST,HEAT,,HEATSYS1 BOILER,135.69,131.47,127.30,132.11,126.32,121.19,121.34,135.66,120.47,126.74,145.76,128.84,151.44,142.16,151.54,174.28
BDL7PST,COP,,AHU-1_COOLC DXCOIL,2.730,2.730,2.730,2.730,2.763,2.730,2.800,2.730,2.764,2.800,2.730,2.800,2.730,2.800,2.764,2.800
BDL7PST,EffHeat,,HEATSYS1 BOILER,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
BDL7PST,Fan,,Fan Max Flow Rate (m3/s ),28.04,25.24,27.42,25.49,25.92,26.68,23.67,23.91,27.01,24.05,24.05,26.01,23.59,24.95,23.20,23.68
BDL7NEW,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BDL7NEW,RvalWall,,R-value (m2·K / W),1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,2.10,2.10,2.10,2.10,2.75,2.75
BDL7NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BDL7NEW,RvalRoof,,R-value (m2·K / W),2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.85,2.85,2.85,2.85,2.79,3.72
BDL7NEW,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,3.24,3.24,3.24,5.84,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,2.62
BDL7NEW,SHGC,,SHGC,0.25,0.25,0.25,0.25,0.25,0.25,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.49,0.30
BDL7NEW,HVAC,,Air Conditioning (kW),498.57,504.56,502.52,476.82,382.06,443.78,363.00,480.54,408.64,374.47,472.90,396.38,461.11,382.79,411.72,319.68
BDL7NEW,HEAT,,HEATSYS1 BOILER,124.74,125.14,115.37,124.97,115.07,113.60,117.95,130.36,114.64,122.53,139.23,122.74,143.07,133.98,143.29,159.05
BDL7NEW,COP,,AHU-1_COOLC DXCOIL,3.130,3.130,3.130,3.130,3.230,3.175,3.230,3.130,3.230,3.230,3.177,3.230,3.177,3.230,3.230,3.230
BDL7NEW,EffHeat,,HEATSYS1 BOILER,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
BDL7NEW,Fan,,Fan Max Flow Rate (m3/s ),21.9,22.25,23.48,22.25,20.62,22.98,21.61,22.05,24.69,21.62,21.77,23.94,21.83,23.12,21.67,19.31
