3.0000000000000000,,Location Summary,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD9PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7.0000000000000000,8.0000000000000000
BLD9PRE,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD9PRE,RvalWall,,R-value (m2·K / W),0.7656967840735070,0.7656967840735070,0.7656967840735070,0.7824726134585290,0.7656967840735070,0.7656967840735070,0.7861635220125790,0.9891196834817010,0.9569377990430620,1.0060362173038200,1.1286681715575600,1.0940919037199100,1.2150668286755800,1.2150668286755800,1.2953367875647700,1.4084507042253500
BLD9PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD9PRE,RvalRoof,,R-value (m2·K / W),1.7574692442882300,1.7574692442882300,1.7574692442882300,1.7574692442882300,1.7574692442882300,1.7574692442882300,1.7574692442882300,2.0449897750511200,1.9762845849802400,2.0703933747412000,2.5000000000000000,2.3696682464455000,2.9850746268656700,2.9850746268656700,2.9325513196480900,2.9850746268656700
BLD9PRE,Uwindow,,U-Factor (W / m2·K),5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,3.5250000000000000,3.5250000000000000,3.5250000000000000,3.5250000000000000,3.5250000000000000,3.5250000000000000
BLD9PRE,SHGC,,SHGC,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.4070000000000000,0.4070000000000000,0.4070000000000000,0.4070000000000000,0.4070000000000000,0.4070000000000000
BLD9PRE,HVAC,,Air Conditioning (kW),59.4775800000000000,61.0460100000000000,64.3064700000000000,61.9892500000000000,54.2909000000000000,63.6192400000000000,42.2319800000000000,59.4448000000000000,51.9440500000000000,48.0020700000000000,58.2342400000000000,51.4324800000000000,59.8300800000000000,46.0966900000000000,58.8889100000000000,49.0833200000000000
BLD9PRE,HEAT,,Heating (kW),79.6378500000000000,100.9159300000000000,91.2151000000000000,107.6339600000000000,79.7350000000000000,95.0418500000000000,84.8022500000000000,114.7768000000000000,94.7086100000000000,99.9922000000000000,134.9039600000000000,112.5833100000000000,151.7527500000000000,143.1719600000000000,157.9087300000000000,230.8252100000000000
BLD9PRE,COP,,Air Conditioning (COP),3.4122455099888100,3.4121221763715600,3.3603094214314700,3.4111925825848800,3.5561770075648000,3.4095820258148300,3.5572161854594500,3.4116669296557500,3.5552807761427900,3.5568252202457100,3.5000000000000000,3.5000000000000000,3.5000000000000000,3.5000000000000000,3.5000000000000000,3.5000000000000000
